timestamp_unix,date_str,symbol,open,high,low,close,volume,volumeUsd
1600585200.0,2020-09-20 07-AM,BTCUSD,10979.78,10981.2,10970.9,10974,5.082,55759.32
1600581600.0,2020-09-20 06-AM,BTCUSD,10973,10981,10961.19,10979.78,22.69,248962.33
1600578000.0,2020-09-20 05-AM,BTCUSD,10983,10983,10963,10973,22.55,247287.32
1600574400.0,2020-09-20 04-AM,BTCUSD,10964.04,10996,10950,10983,29.77,326710.83
1600570800.0,2020-09-20 03-AM,BTCUSD,10938,10973,10897,10964.04,119.34,1303365.04
1600567200.0,2020-09-20 02-AM,BTCUSD,10958,10977.89,10934,10938,52.9,579750.48
1600563600.0,2020-09-20 01-AM,BTCUSD,11077,11077,10937,10958,247.33,2720518.05
1600560000.0,2020-09-20 12-AM,BTCUSD,11098,11098,11070,11077,44.98,498322.04
1600556400.0,2020-09-19 11-PM,BTCUSD,11084,11099,11059.11,11098,22.24,246489.9
1600552800.0,2020-09-19 10-PM,BTCUSD,11068.94,11086,11052.24,11084,9.393,103950.37
1600549200.0,2020-09-19 09-PM,BTCUSD,11108,11108,11051,11068.94,73.1,809521.67
1600545600.0,2020-09-19 08-PM,BTCUSD,11080.89,11108,11065.03,11108,62.48,692869.77
1600542000.0,2020-09-19 07-PM,BTCUSD,11066,11093,11051,11080.89,75.21,833557.9
1600538400.0,2020-09-19 06-PM,BTCUSD,11082,11084.92,11038,11066,167.91,1856564.89
1600534800.0,2020-09-19 05-PM,BTCUSD,11084.76,11122,11078,11082,301.94,3350063.65
1600531200.0,2020-09-19 04-PM,BTCUSD,11111.54,11138,11082.84,11084.76,76.16,845758.15
1600527600.0,2020-09-19 03-PM,BTCUSD,11105,11123,11077,11111.54,57.67,639813.91
1600524000.0,2020-09-19 02-PM,BTCUSD,11124,11129,11081,11105,98.34,1093062.36
1600520400.0,2020-09-19 01-PM,BTCUSD,11120,11141,11104,11124,147.13,1635271.48
1600516800.0,2020-09-19 12-PM,BTCUSD,11164,11185,11076,11120,374.05,4162413.03
1600513200.0,2020-09-19 11-AM,BTCUSD,11000,11174,10996,11164,574.71,6375724.27
1600509600.0,2020-09-19 10-AM,BTCUSD,10975,11000,10964,11000,101.69,1118204.56
1600506000.0,2020-09-19 09-AM,BTCUSD,10956,10987,10955.98,10975,17.44,191288.94
1600502400.0,2020-09-19 08-AM,BTCUSD,10935,10956,10920,10956,28.09,307159.69
1600498800.0,2020-09-19 07-AM,BTCUSD,10972.86,10976,10935,10935,28.0,306603.68
1600495200.0,2020-09-19 06-AM,BTCUSD,10960,10973,10957,10972.86,16.64,182410.53
1600491600.0,2020-09-19 05-AM,BTCUSD,10987,10990,10955,10960,10.91,119692.37
1600488000.0,2020-09-19 04-AM,BTCUSD,10997.72,11000,10976,10987,33.15,364423.99
1600484400.0,2020-09-19 03-AM,BTCUSD,10990,10998,10977,10997.72,12.83,141023.48
1600480800.0,2020-09-19 02-AM,BTCUSD,10973,10990,10970,10990,15.19,166811.98
